Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,City or Regency,Province,Country,Continent,Island,Time Zone,Special Status,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Total Deaths per 100rb,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths
2021-11-01,ID-SA,Sulawesi Utara,4,0,7,-3,34620,1039,33151,430,Province,,Sulawesi Utara,Indonesia,Asia,Sulawesi,UTC+08:00,,11,4.0,171,332.0,1507.0,13892,2641884,190.17,124.5212396,1.259638212,1.51,13104.28,0.0,393.28,39.33,3.00%,95.76%,0.8,1.0
2020-07-08,ID-AC,Aceh,1,0,9,-8,89,3,52,34,Province,,Aceh,Indonesia,Asia,Sumatera,UTC+07:00,Daerah Khusus,18,5.0,289,,6497.0,57956,5247257,90.54,96.91052174,4.225614628,0.19,16.96,0.0,0.57,0.06,3.37%,58.43%,1.0,1.0
2020-08-25,ID-KS,Kalimantan Selatan,82,4,66,12,7920,338,5494,2088,Province,,Kalimantan Selatan,Indonesia,Asia,Kalimantan,UTC+08:00,,11,2.0,153,144.0,1864.0,38744,4023049,103.84,115.4385783,-2.993594979,20.38,1968.66,0.99,84.02,8.4,4.27%,69.37%,1.34,2.0
2021-12-29,ID-SB,Sumatera Barat,0,0,0,0,89870,2152,87693,25,Province,,Sumatera Barat,Indonesia,Asia,Sumatera,UTC+07:00,,12,7.0,179,230.0,928.0,42013,5519245,131.37,100.4650624,-0.850253225,0.0,16283.02,0.0,389.91,38.99,2.39%,97.58%,1.0,1.0
2020-12-14,ID-JT,Jawa Tengah,737,16,840,-119,68321,2950,47111,18260,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6.0,576,753.0,7809.0,32801,36364072,1108.64,110.2011149,-7.259097177,20.27,1878.8,0.44,81.12,8.11,4.32%,68.96%,1.06,0.36
2021-01-24,ID-PA,Papua,64,0,10,54,14708,184,8315,6209,Province,,Papua,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1.0,560,110.0,5411.0,319036,4340348,13.6,138.69603,-4.66620953,14.75,3388.67,0.0,42.39,4.24,1.25%,56.53%,0.93,0.0
2022-03-19,ID-JT,Jawa Tengah,901,49,1407,-555,617726,32505,562549,22672,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6.0,576,753.0,7809.0,32801,36364072,1108.64,110.2011149,-7.259097177,24.78,16987.26,1.35,893.88,89.39,5.26%,91.07%,0.87,0.92
2020-04-10,ID-PB,Papua Barat,0,0,0,0,2,1,1,0,Province,,Papua Barat,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,12,1.0,218,95.0,1742.0,102955,1140701,11.08,132.9762624,-2.045160182,0.0,1.75,0.0,0.88,0.09,50.00%,50.00%,1.0,1.0
2020-07-28,ID-BE,Bengkulu,10,0,0,10,210,16,117,77,Province,,Bengkulu,Indonesia,Asia,Sumatera,UTC+07:00,,9,1.0,129,172.0,1341.0,19919,1999539,100.38,102.3384213,-3.533583627,5.0,105.02,0.0,8.0,0.8,7.62%,55.71%,,1.0
2021-03-29,ID-SB,Sumatera Barat,41,1,37,3,31496,683,29700,1113,Province,,Sumatera Barat,Indonesia,Asia,Sumatera,UTC+07:00,,12,7.0,179,230.0,928.0,42013,5519245,131.37,100.4650624,-0.850253225,7.43,5706.58,0.18,123.75,12.37,2.17%,94.30%,0.39,0.5
2021-07-27,ID-RI,Riau,1428,35,664,729,90670,2449,78383,9838,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2.0,169,268.0,1591.0,87024,6074100,69.8,101.8051092,0.511647851,235.1,14927.31,5.76,403.19,40.32,2.70%,86.45%,1.26,1.09
2022-05-29,ID-MU,Maluku Utara,0,0,0,0,14524,330,14172,22,Province,,Maluku Utara,Indonesia,Asia,Maluku,UTC+09:00,,8,2.0,116,118.0,1063.0,31983,1307803,40.89,127.5391072,0.212036949,0.0,11105.65,0.0,252.33,25.23,2.27%,97.58%,0.0,1.0
2020-07-28,ID-SG,Sulawesi Tenggara,0,0,3,-3,769,13,453,303,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2.0,219,377.0,1911.0,38068,2635461,69.23,122.070311,-4.124688793,0.0,291.79,0.0,4.93,0.49,1.69%,58.91%,0.0,1.0
2021-08-24,ID-JK,DKI Jakarta,484,10,526,-52,846903,13230,825521,8152,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,,664,10846145,16334.31,106.8361183,-6.204698991,44.62,78083.32,0.92,1219.79,121.98,1.56%,97.48%,1.0,0.5
2022-07-31,ID-KS,Kalimantan Selatan,106,1,44,61,85646,2549,82248,849,Province,,Kalimantan Selatan,Indonesia,Asia,Kalimantan,UTC+08:00,,11,2.0,153,144.0,1864.0,38744,4023049,103.84,115.4385783,-2.993594979,26.35,21288.83,0.25,633.6,63.36,2.98%,96.03%,0.88,1.0
